Company,TypeName,Ram,OpSys,Weight,CPU_name,TouchScreen,IPS,PPI,SSD,HDD,SSD_HDD,GPU_brand
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,0,1,226.98300468106115,128,0,0,Intel
Apple,Ultrabook,8,Mac,1.34,Intel Core i5,0,0,127.67794013309688,0,0,0,Intel
HP,Notebook,8,Others,1.86,Intel Core i5,0,0,141.21199808219862,256,0,0,Intel
Apple,Ultrabook,16,Mac,1.83,Intel Core i7,0,1,220.53462386625827,512,0,0,AMD
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,0,1,226.98300468106115,256,0,0,Intel
Acer,Notebook,4,Windows,2.1,AMD Processor,0,0,100.45466986113651,0,500,0,AMD
Apple,Ultrabook,16,Mac,2.04,Intel Core i7,0,1,220.53462386625827,0,0,0,Intel
Apple,Ultrabook,8,Mac,1.34,Intel Core i5,0,0,127.67794013309688,0,0,0,Intel
Asus,Ultrabook,16,Windows,1.3,Intel Core i7,0,0,157.3505121487356,512,0,0,Nvidia
Acer,Ultrabook,8,Windows,1.6,Intel Core i5,0,1,157.3505121487356,256,0,0,Intel
HP,Notebook,4,Others,1.86,Intel Core i5,0,0,100.45466986113651,0,500,0,Intel
HP,Notebook,4,Others,1.86,Intel Core i3,0,0,141.21199808219862,0,500,0,Intel
Apple,Ultrabook,16,Mac,1.83,Intel Core i7,0,1,220.53462386625827,256,0,0,AMD
Dell,Notebook,4,Windows,2.2,Intel Core i3,0,0,141.21199808219862,256,0,0,AMD
Apple,Ultrabook,8,Mac,0.92,Other Intel Processor,0,1,226.41554716935852,256,0,0,Intel
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,0,1,226.98300468106115,256,0,0,Intel
Dell,Notebook,8,Windows,2.2,Intel Core i7,0,0,141.21199808219862,256,0,0,AMD
Apple,Ultrabook,16,Mac,1.83,Intel Core i7,0,1,220.53462386625827,512,0,0,AMD
Lenovo,Notebook,8,Others,2.2,Intel Core i3,0,0,141.21199808219862,0,1000,0,Nvidia
Dell,Ultrabook,8,Windows,1.22,Intel Core i5,1,1,165.6321180513006,128,0,0,Intel
